"","F03","F05","F09","F14","L02","L03","L05","L06","L07","L13","L14","L15","L16","L18","L23","Lid10","Lid11","Lid12","Lid13","Lid14","Lid15","Lid16","Lid17","Lid18","Lid19","Lid1","Lid20","Lid2","Lid3","Lid4","Lid5","Lid6","Lid7","Lid8","Lid9","Skin10","Skin11","Skin12","Skin13","Skin14","Skin15","Skin16","Skin1","Skin2","Skin3","Skin4","Skin5","Skin6","Skin7","Skin8","Skin9","X10A","X11A","X12A","X13A","X15A","X16A","X17A","X18A","X19A","X1A","X20A","X21A","X22A","X23A","X24A","X25A","X26A","X27A","X28A","X29A","X2A","X30A","X31A","X32A","X33A","X34A","X35A","X36A","X37A","X38A","X39A","X3A","X40A","X41A","X42A","X43A","X44A","X45A","X4A","X5A","X6A","X7A","X8A","X9A"
"UNI779",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,3,54,3,18,144,12,16,0,10,14,0,0,0,0,0,7,0,0,0,3,0,0,0,5,2,0,19,15,61,3,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,21,0,5,0,0,0,0
"UNI1127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,0,2,0,14,0,0,107,10,21,75,0,16,2,4,0,0,0,0,0,13,7,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,73,0,0,0,0,0,0,0,4,0
"UNI881",0,0,3,0,0,0,0,1,0,2,0,0,1,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,3,0,9,0,0,0,0,1,0,8,21,55,0,79,0,6,0,0,0,2,6,2,203,4,1,15,0,0,0,0,4,0,3,1,4,5,14,9,7,1,0,0,1,0,47,12,29,5,6,0,0,2,0
"UNI1224",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,1,0,2,0,0,74,10,12,72,0,16,2,0,0,0,0,0,0,18,8,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,3,0
"UNI602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,106,0,0,8,0,8,0,13,0,78,0,0,8,103,4,0,34,0,43,0,2,0,2,0,0,0,3,0,0,0,154,0,0,0,0
"UNI1031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1,0,0,1,0,0,0,0,0,0,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,13,2,11,3,3,16,126,4,24,18,8,0,0,2,36,9,10,52,97,3,50,5,28,123,91,0,14,1,1,29,0,17,10,0,2,6,2,33,37,0,0,0,30
"UNI480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,5,13,6,0,75,2,21,1,11,69,0,0,0,0,0,0,0,14,0,3,8,46,1,2,0,0,1,0,0,0,0,0,0,26,2,1,0,0,2,3,0,1,0,0,0,10,47,1,0,8,0,0,1,0
"UNI783",14,1,1,2,0,0,1,23,8,4,2,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10,31,9,12,2,17,6,6,6,81,0,1,3,3,6,16,3,84,430,19,6,37,4,21,0,14,4,0,84,4,62,10,0,65,1,4,1,0,0,12,12,1,1,12
"UNI191",229,144,88,69,79,58,157,107,116,41,74,137,24,118,36,1,14,19,6,8,14,5,40,10,1,8,3,2,7,11,132,1,4,25,1,18,22,0,1,0,2,1,11,3,5,1,7,1,4,0,25,0,0,0,0,11,7,0,0,2,4,39,7,0,3,14,0,1,0,16,0,0,0,8,7,42,2,1,0,26,33,0,0,2,5,0,10,0,5,0,9,0,0,0,0
"UNI621",1,2,8,0,0,0,1,0,2,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,55,55,2,20,0,0,0,40,8,6,2,4,35,19,7,17,7,16,3,9,8,21,20,0,4,9,30,9,32,41,7,31,0,25,0,3,8,28,6,110,1,3
"UNI1245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,14,0,0,38,3,9,114,1,3,1,0,0,0,0,0,0,24,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,92,0,0,0,0,0,0,0,13,0
"UNI806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,2,4,49,5,11,107,12,23,0,12,12,0,2,0,0,0,3,0,0,0,2,0,0,0,3,0,2,31,11,57,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,26,0,11,0,0,0,0
"UNI426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,9,5,0,59,0,11,0,1,61,0,0,2,0,0,0,1,12,0,1,13,80,7,4,0,0,2,0,0,0,0,0,0,48,2,3,0,0,12,6,0,6,0,0,1,32,67,1,0,2,0,0,4,0
"UNI221",190,100,50,54,68,42,109,70,92,52,46,113,5,79,24,2,6,13,8,3,13,18,27,2,1,11,2,7,1,8,111,2,0,7,0,19,46,0,1,0,5,4,17,8,1,5,3,2,4,0,48,0,0,2,0,5,7,0,2,0,4,20,5,0,4,11,0,0,0,15,0,0,0,8,4,36,3,0,0,16,29,0,0,2,6,0,12,1,9,1,13,0,0,0,0
"UNI1119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,97,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,7,3,0,0,130,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,97,196,0,0,0,0,0,0
"UNI1083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,24,0,0,0,150,3,0,1,0,0,60,0,0,0,0,0,0,0,0,0,7,2,0,0,84,0,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,128,270,0,0,0,0,0,0
"UNI1091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,6,14,3,1,1,4,79,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,24,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,132,6,18,0,3,0,0,0,0
"UNI1095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,12,4,0,2,1,49,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,26,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,185,3,24,0,10,0,0,0,0
"UNI1438",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,123,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UNI837",11,0,3,0,0,8,1,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,5,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,1,0,0,26,1,3,0,0,2,0,2,0,0,0,1,2,2,31,3,0,0,7,0,11,0,2,0,0,0,0,6,2,0,195,0,144,37,1,1,0,0,0,19,6,0,0,6
"UNI30",5,2,3,3,0,19,2,1,2,2,3,1,0,0,1,37,91,102,124,100,148,147,122,76,107,93,58,0,120,92,1,53,24,100,156,1,3,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"UNI1587",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UNI1258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,15,0,11,0,44,0,12,0,2,1,2,0,4,7,0,0,0,127,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,147,0,0,0,0,0,4,0
"UNI1259",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,33,0,6,4,0,6,1,0,0,0,0,0,0,221,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"UNI1741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,1,13,0,1,38,2,6,95,4,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,46,0,0,0,0,0,0,0,3,0
"UNI991",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,191,0,0,0,0,0,36,0,0,0,0,0,0,0,5,0,2,0,6,0,211,0,0,0,0,23,0,2,0,0,0,0,0,0,0,1,7,0,0,0,0
"UNI1502",0,0,0,0,1,0,0,17,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,14,0,0,4,0,0,0,1,2,1,0,0,0,20,29,0,234,0,71,1,42,0,13,0,0,0,0,0,0,0,0,34,0,7
"UNI1635",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,3,13,0,43,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,77,0,1,0,1,0,11,11,1,2,0,7,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0
