"","totals","taxonomy"
"UNI1748",6261,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter sp. CIP-A165"
"UNI2091",6110,"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;uncultured Agrobacterium sp."
"UNI2597",6109,"Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;Chryseobacterium sp. Leaf404"
"UNI2039",6015,"Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Finegoldia;Finegoldia magna ATCC 53516"
"UNI2488",6003,"Bacteria;Chloroflexi;Chloroflexi Incertae Sedis;Unknown Order;Unknown Family;Thermobaculum;Thermobaculum terrenum"
"UNI463",5914,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Ostrinia furnacalis (Asian corn borer)"
"UNI4086",5897,"Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Anaerococcus;Chlamydia trachomatis"
"UNI1963",5824,"Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;uncultured;uncultured bacterium"
"UNI2973",5817,"Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Thermaceae;Thermus;Thermus parvatiensis"
"UNI3520",5760,"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces johnsonii F0542"
"UNI2740",5678,"Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Blastocatellaceae (Subgroup 4);Blastocatella;bacterium Ellin6075"
"UNI2493",5647,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;uncultured;uncultured bacterium"
"UNI2330",5626,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter ursingii DSM 16037 = CIP 107286"
"UNI1539",5584,"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;uncultured bacterium"
"UNI3837",5573,"Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Selenomonas 3;Selenomonas noxia ATCC 43541"
"UNI2068",5516,"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium sp. GXS13"
"UNI1200",5495,"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;uncultured Acidovorax sp."
"UNI1595",5481,"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;uncultured bacterium"
"UNI3025",5474,"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Aquabacterium;Aquabacterium citratiphilum"
"UNI1958",5468,"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus coagulans DSM 1 = ATCC 7050"
"UNI3281",5460,"Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas sp. bp3"
"UNI3846",5458,"Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Rubritalea;uncultured bacterium"
"UNI2674",5442,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus iners DSM 13335"
"UNI3588",5433,"Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum;uncultured marine bacterium"
"UNI1949",5333,"Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Thermaceae;Meiothermus;Meiothermus silvanus"
"UNI3219",5198,"Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Taibaiella;uncultured bacterium"
"UNI3478",5140,"Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium matruchotii ATCC 14266"
"UNI3741",5110,"Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;Deinococcus geothermalis"
"UNI5",5087,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;uncultured bacterium"
"UNI2083",5074,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter ursingii DSM 16037 = CIP 107286"
